type,question,correct,wrong1,wrong2,image
Figures,How many figures?,24,23,21,figures_6_4_417148_466526_041585_724774.png
Figures,How many columns?,6,4,8,figures_6_4_417148_466526_041585_724774.png
Figures,How many rows?,4,6,2,figures_6_4_417148_466526_041585_724774.png
Figures,How many triangles?,6,4,5,figures_6_4_417148_466526_041585_724774.png
Figures,How many squares?,9,7,11,figures_6_4_417148_466526_041585_724774.png
Figures,How many circles?,9,8,10,figures_6_4_417148_466526_041585_724774.png
Figures,How many red figures?,4,2,6,figures_6_4_417148_466526_041585_724774.png
Figures,How many green figures?,13,16,11,figures_6_4_417148_466526_041585_724774.png
Figures,How many blue figures?,7,5,10,figures_6_4_417148_466526_041585_724774.png
Figures,How many red triangles?,1,3,2,figures_6_4_417148_466526_041585_724774.png
Figures,How many green triangles?,3,5,1,figures_6_4_417148_466526_041585_724774.png
Figures,How many blue triangles?,2,3,4,figures_6_4_417148_466526_041585_724774.png
Figures,How many red squares?,0,2,1,figures_6_4_417148_466526_041585_724774.png
Figures,How many green squares?,6,8,7,figures_6_4_417148_466526_041585_724774.png
Figures,How many blue squares?,3,5,1,figures_6_4_417148_466526_041585_724774.png
Figures,How many red circles?,3,5,2,figures_6_4_417148_466526_041585_724774.png
Figures,How many green circles?,4,6,2,figures_6_4_417148_466526_041585_724774.png
Figures,How many blue circles?,2,0,1,figures_6_4_417148_466526_041585_724774.png
Figures,How many figures?,24,21,19,figures_6_4_845637_428335_646175_683785.png
Figures,How many columns?,6,8,7,figures_6_4_845637_428335_646175_683785.png
Figures,How many rows?,4,2,3,figures_6_4_845637_428335_646175_683785.png
Figures,How many triangles?,2,1,0,figures_6_4_845637_428335_646175_683785.png
Figures,How many squares?,11,12,10,figures_6_4_845637_428335_646175_683785.png
Figures,How many circles?,11,9,8,figures_6_4_845637_428335_646175_683785.png
Figures,How many red figures?,8,7,6,figures_6_4_845637_428335_646175_683785.png
Figures,How many green figures?,7,10,4,figures_6_4_845637_428335_646175_683785.png
Figures,How many blue figures?,9,10,11,figures_6_4_845637_428335_646175_683785.png
Figures,How many red triangles?,0,2,1,figures_6_4_845637_428335_646175_683785.png
Figures,How many green triangles?,1,2,0,figures_6_4_845637_428335_646175_683785.png
Figures,How many blue triangles?,1,0,2,figures_6_4_845637_428335_646175_683785.png
Figures,How many red squares?,4,3,6,figures_6_4_845637_428335_646175_683785.png
Figures,How many green squares?,3,2,5,figures_6_4_845637_428335_646175_683785.png
Figures,How many blue squares?,4,3,6,figures_6_4_845637_428335_646175_683785.png
Figures,How many red circles?,4,2,3,figures_6_4_845637_428335_646175_683785.png
Figures,How many green circles?,3,5,1,figures_6_4_845637_428335_646175_683785.png
Figures,How many blue circles?,4,6,5,figures_6_4_845637_428335_646175_683785.png
Figures,How many figures?,24,28,22,figures_6_4_065628_157337_337170_777835.png
Figures,How many columns?,6,8,7,figures_6_4_065628_157337_337170_777835.png
Figures,How many rows?,4,3,2,figures_6_4_065628_157337_337170_777835.png
Figures,How many triangles?,5,6,3,figures_6_4_065628_157337_337170_777835.png
Figures,How many squares?,8,9,7,figures_6_4_065628_157337_337170_777835.png
Figures,How many circles?,11,8,10,figures_6_4_065628_157337_337170_777835.png
Figures,How many red figures?,9,7,10,figures_6_4_065628_157337_337170_777835.png
Figures,How many green figures?,9,12,6,figures_6_4_065628_157337_337170_777835.png
Figures,How many blue figures?,6,8,4,figures_6_4_065628_157337_337170_777835.png
Figures,How many red triangles?,2,0,1,figures_6_4_065628_157337_337170_777835.png
Figures,How many green triangles?,2,3,1,figures_6_4_065628_157337_337170_777835.png
Figures,How many blue triangles?,1,2,3,figures_6_4_065628_157337_337170_777835.png
Figures,How many red squares?,5,4,7,figures_6_4_065628_157337_337170_777835.png
Figures,How many green squares?,0,1,2,figures_6_4_065628_157337_337170_777835.png
Figures,How many blue squares?,3,2,4,figures_6_4_065628_157337_337170_777835.png
Figures,How many red circles?,2,4,0,figures_6_4_065628_157337_337170_777835.png
Figures,How many green circles?,7,10,4,figures_6_4_065628_157337_337170_777835.png
Figures,How many blue circles?,2,3,0,figures_6_4_065628_157337_337170_777835.png
Figures,How many figures?,24,27,28,figures_6_4_354424_727711_277167_717144.png
Figures,How many columns?,6,5,4,figures_6_4_354424_727711_277167_717144.png
Figures,How many rows?,4,6,3,figures_6_4_354424_727711_277167_717144.png
Figures,How many triangles?,8,5,10,figures_6_4_354424_727711_277167_717144.png
Figures,How many squares?,7,8,10,figures_6_4_354424_727711_277167_717144.png
Figures,How many circles?,9,8,6,figures_6_4_354424_727711_277167_717144.png
