type,question,correct,wrong1,wrong2,image
Cubes,How many cubes in total?,26,24,23,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many visible cubes?,17,14,18,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many non visible cubes?,9,7,8,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer x 1?,2,3,4,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer x 2?,4,3,5,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer x 3?,8,7,5,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer x 4?,12,9,14,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer y 1?,4,6,2,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer y 2?,4,2,5,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer y 3?,7,4,8,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer y 4?,11,10,12,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer z 1?,11,14,13,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer z 2?,8,10,11,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in layer z 3?,7,8,6,cubes_4_4_3_0002_0013_1133_3333.png
Cubes,How many cubes in total?,37,34,43,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many visible cubes?,22,19,23,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many non visible cubes?,15,17,13,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer x 1?,4,6,5,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer x 2?,9,10,7,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer x 3?,12,14,9,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer x 4?,12,11,15,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer y 1?,6,8,4,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer y 2?,9,6,11,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer y 3?,10,12,9,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer y 4?,12,15,11,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer z 1?,13,16,17,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer z 2?,12,9,15,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in layer z 3?,12,11,9,cubes_4_4_3_0013_0333_3333_3333.png
Cubes,How many cubes in total?,33,35,32,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many visible cubes?,18,15,14,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many non visible cubes?,15,11,13,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer x 1?,4,3,5,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer x 2?,8,9,11,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer x 3?,10,13,9,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer x 4?,11,9,13,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer y 1?,3,1,4,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer y 2?,8,9,6,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer y 3?,11,12,13,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer y 4?,11,8,9,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer z 1?,13,15,17,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer z 2?,12,9,11,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in layer z 3?,8,7,10,cubes_4_4_3_0022_0233_1333_2333.png
Cubes,How many cubes in total?,26,23,28,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many visible cubes?,16,15,18,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many non visible cubes?,10,8,11,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer x 1?,2,0,4,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer x 2?,3,4,5,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer x 3?,10,13,7,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer x 4?,11,13,12,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer y 1?,3,5,1,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer y 2?,6,8,5,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer y 3?,8,10,11,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer y 4?,9,7,6,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer z 1?,12,14,9,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer z 2?,8,5,10,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in layer z 3?,6,4,7,cubes_4_4_3_0011_0012_1333_2333.png
Cubes,How many cubes in total?,36,35,40,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many visible cubes?,20,24,17,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many non visible cubes?,16,13,18,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer x 1?,5,7,3,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer x 2?,8,6,7,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer x 3?,11,12,10,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer x 4?,12,14,11,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer y 1?,5,3,4,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer y 2?,8,5,9,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer y 3?,11,13,12,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer y 4?,12,10,11,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer z 1?,13,16,17,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer z 2?,13,14,12,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in layer z 3?,10,7,8,cubes_4_4_3_0023_0233_2333_3333.png
Cubes,How many cubes in total?,26,29,27,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many visible cubes?,17,14,13,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many non visible cubes?,9,7,11,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer x 1?,4,6,3,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer x 2?,5,3,7,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer x 3?,8,9,7,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer x 4?,9,12,8,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer y 1?,1,2,0,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer y 2?,5,6,3,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer y 3?,8,5,7,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer y 4?,12,15,11,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer z 1?,12,13,10,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer z 2?,8,5,6,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in layer z 3?,6,7,5,cubes_4_4_3_0013_0113_0233_1233.png
Cubes,How many cubes in total?,32,30,29,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many visible cubes?,19,16,22,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many non visible cubes?,13,17,12,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer x 1?,3,1,5,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer x 2?,7,8,6,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer x 3?,10,13,12,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer x 4?,12,10,9,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer y 1?,4,3,5,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer y 2?,7,5,8,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer y 3?,9,7,11,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer y 4?,12,13,10,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer z 1?,12,11,13,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer z 2?,10,12,13,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in layer z 3?,10,13,8,cubes_4_4_3_0003_0133_1333_3333.png
Cubes,How many cubes in total?,34,38,39,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many visible cubes?,20,17,21,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many non visible cubes?,14,12,17,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer x 1?,6,8,5,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer x 2?,7,8,4,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer x 3?,9,7,8,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer x 4?,12,11,10,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer y 1?,4,6,3,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer y 2?,8,5,10,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer y 3?,10,7,8,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer y 4?,12,10,14,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer z 1?,14,16,13,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer z 2?,12,10,13,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in layer z 3?,8,6,5,cubes_4_4_3_0123_0223_1233_3333.png
Cubes,How many cubes in total?,36,42,41,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many visible cubes?,21,16,23,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many non visible cubes?,15,14,19,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer x 1?,6,7,5,cubes_4_4_3_0033_1233_1333_2333.png
