type,question,correct,wrong1,wrong2,image
Maze,How many cells?,96,98,101,maze_0_12_8_0_2.png
Maze,How many colums?,12,14,11,maze_0_12_8_0_2.png
Maze,How many rows?,8,6,10,maze_0_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_0_12_8_0_2.png
Maze,How many cells?,96,105,91,maze_1_12_8_0_2.png
Maze,How many colums?,12,10,11,maze_1_12_8_0_2.png
Maze,How many rows?,8,10,7,maze_1_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_1_12_8_0_2.png
Maze,How many cells?,96,101,104,maze_2_12_8_0_3.png
Maze,How many colums?,12,13,9,maze_2_12_8_0_3.png
Maze,How many rows?,8,6,9,maze_2_12_8_0_3.png
Maze,Which is the exit starting from green?,yellow,red,blue,maze_2_12_8_0_3.png
Maze,How many cells?,96,87,100,maze_3_12_8_0_2.png
Maze,How many colums?,12,15,14,maze_3_12_8_0_2.png
Maze,How many rows?,8,9,10,maze_3_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_3_12_8_0_2.png
Maze,How many cells?,96,91,93,maze_4_12_8_0_3.png
Maze,How many colums?,12,10,13,maze_4_12_8_0_3.png
Maze,How many rows?,8,5,10,maze_4_12_8_0_3.png
Maze,Which is the exit starting from green?,yellow,red,blue,maze_4_12_8_0_3.png
Maze,How many cells?,96,90,95,maze_5_12_8_0_1.png
Maze,How many colums?,12,15,11,maze_5_12_8_0_1.png
Maze,How many rows?,8,9,7,maze_5_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_5_12_8_0_1.png
Maze,How many cells?,96,88,103,maze_6_12_8_0_2.png
Maze,How many colums?,12,14,10,maze_6_12_8_0_2.png
Maze,How many rows?,8,9,7,maze_6_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_6_12_8_0_2.png
Maze,How many cells?,96,103,104,maze_7_12_8_0_2.png
Maze,How many colums?,12,13,11,maze_7_12_8_0_2.png
Maze,How many rows?,8,11,10,maze_7_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_7_12_8_0_2.png
Maze,How many cells?,96,98,92,maze_8_12_8_0_2.png
Maze,How many colums?,12,15,11,maze_8_12_8_0_2.png
Maze,How many rows?,8,7,10,maze_8_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_8_12_8_0_2.png
Maze,How many cells?,96,102,98,maze_9_12_8_0_1.png
Maze,How many colums?,12,14,15,maze_9_12_8_0_1.png
Maze,How many rows?,8,7,9,maze_9_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_9_12_8_0_1.png
Maze,How many cells?,96,105,89,maze_10_12_8_0_1.png
Maze,How many colums?,12,10,15,maze_10_12_8_0_1.png
Maze,How many rows?,8,11,5,maze_10_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_10_12_8_0_1.png
Maze,How many cells?,96,86,89,maze_11_12_8_0_1.png
Maze,How many colums?,12,11,13,maze_11_12_8_0_1.png
Maze,How many rows?,8,7,11,maze_11_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_11_12_8_0_1.png
Maze,How many cells?,96,89,95,maze_12_12_8_0_2.png
Maze,How many colums?,12,13,9,maze_12_12_8_0_2.png
Maze,How many rows?,8,7,9,maze_12_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_12_12_8_0_2.png
Maze,How many cells?,96,87,97,maze_13_12_8_0_1.png
Maze,How many colums?,12,11,15,maze_13_12_8_0_1.png
Maze,How many rows?,8,7,6,maze_13_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_13_12_8_0_1.png
Maze,How many cells?,96,89,95,maze_14_12_8_0_3.png
Maze,How many colums?,12,15,13,maze_14_12_8_0_3.png
Maze,How many rows?,8,5,11,maze_14_12_8_0_3.png
Maze,Which is the exit starting from green?,yellow,red,blue,maze_14_12_8_0_3.png
Maze,How many cells?,96,95,97,maze_15_12_8_0_2.png
Maze,How many colums?,12,14,15,maze_15_12_8_0_2.png
Maze,How many rows?,8,10,7,maze_15_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_15_12_8_0_2.png
Maze,How many cells?,96,88,104,maze_16_12_8_0_2.png
Maze,How many colums?,12,10,15,maze_16_12_8_0_2.png
Maze,How many rows?,8,6,7,maze_16_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_16_12_8_0_2.png
Maze,How many cells?,96,88,103,maze_17_12_8_0_1.png
Maze,How many colums?,12,15,11,maze_17_12_8_0_1.png
Maze,How many rows?,8,5,7,maze_17_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_17_12_8_0_1.png
Maze,How many cells?,96,102,91,maze_18_12_8_0_2.png
Maze,How many colums?,12,14,9,maze_18_12_8_0_2.png
Maze,How many rows?,8,9,6,maze_18_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_18_12_8_0_2.png
Maze,How many cells?,96,103,95,maze_19_12_8_0_1.png
Maze,How many colums?,12,10,14,maze_19_12_8_0_1.png
Maze,How many rows?,8,9,11,maze_19_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_19_12_8_0_1.png
Maze,How many cells?,96,102,92,maze_20_12_8_0_2.png
Maze,How many colums?,12,10,13,maze_20_12_8_0_2.png
Maze,How many rows?,8,10,5,maze_20_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_20_12_8_0_2.png
Maze,How many cells?,96,86,104,maze_21_12_8_0_1.png
Maze,How many colums?,12,9,15,maze_21_12_8_0_1.png
Maze,How many rows?,8,9,11,maze_21_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_21_12_8_0_1.png
Maze,How many cells?,96,103,95,maze_22_12_8_0_1.png
Maze,How many colums?,12,10,13,maze_22_12_8_0_1.png
Maze,How many rows?,8,10,9,maze_22_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_22_12_8_0_1.png
Maze,How many cells?,96,86,92,maze_23_12_8_0_1.png
Maze,How many colums?,12,10,9,maze_23_12_8_0_1.png
Maze,How many rows?,8,7,9,maze_23_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_23_12_8_0_1.png
Maze,How many cells?,96,88,102,maze_24_12_8_0_2.png
Maze,How many colums?,12,11,9,maze_24_12_8_0_2.png
Maze,How many rows?,8,9,5,maze_24_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_24_12_8_0_2.png
Maze,How many cells?,96,89,91,maze_25_12_8_0_1.png
Maze,How many colums?,12,10,15,maze_25_12_8_0_1.png
Maze,How many rows?,8,5,9,maze_25_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_25_12_8_0_1.png
Maze,How many cells?,96,88,94,maze_26_12_8_0_1.png
Maze,How many colums?,12,15,14,maze_26_12_8_0_1.png
Maze,How many rows?,8,7,10,maze_26_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_26_12_8_0_1.png
Maze,How many cells?,96,104,106,maze_27_12_8_0_2.png
Maze,How many colums?,12,15,14,maze_27_12_8_0_2.png
Maze,How many rows?,8,9,7,maze_27_12_8_0_2.png
Maze,Which is the exit starting from green?,blue,red,yellow,maze_27_12_8_0_2.png
Maze,How many cells?,96,93,99,maze_28_12_8_0_1.png
Maze,How many colums?,12,9,15,maze_28_12_8_0_1.png
Maze,How many rows?,8,7,10,maze_28_12_8_0_1.png
Maze,Which is the exit starting from green?,red,yellow,blue,maze_28_12_8_0_1.png
