Mota,Galdera,Irudia,Zuzena,Oker1,Oker2,Jatorria,Esteka,Egilea
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze0.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze1.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze2.svg,Urdina (I-E),Horia (H-E),Gorria (H-M),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze3.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze4.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze5.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze6.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze7.svg,Horia (H-E),Gorria (H-M),Urdina (I-E),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze8.svg,Urdina (I-E),Horia (H-E),Gorria (H-M),,,Gorka Urbizu Garmendia
Laberintoa,Ertz berdetik (I-M) abiatuta topatu gertueneko irteera.,figurak/maze9.svg,Gorria (H-M),Horia (H-E),Urdina (I-E),,,Gorka Urbizu Garmendia
